payment_ID,payment_type,payment_provider,credit_card_number,exp_date
1,PayPal,American Express,3542324065311709,03/28
2,Bank Transfer,PayPal,3537942241966190,08/25
3,Credit Card,American Express,341750240671865,08/33
4,PayPal,American Express,4387983655538934,06/26
5,PayPal,PayPal,4825703792535878,01/29
6,Credit Card,American Express,3580271197970485,02/27
7,PayPal,Visa,676251662976,07/28
8,PayPal,American Express,589409669514,04/28
9,PayPal,PayPal,6011826677416689,05/27
10,PayPal,Visa,377211887150298,11/29
11,Bank Transfer,American Express,4178972903030428717,08/34
12,Bank Transfer,Visa,180062049411806,06/32
13,Credit Card,PayPal,30270541363407,12/33
14,Bank Transfer,American Express,374437878835133,08/26
15,PayPal,MasterCard,4647137811910684034,03/29
16,PayPal,American Express,4589969146236167399,09/32
17,Bank Transfer,MasterCard,3513327235546760,05/32
18,PayPal,Visa,4316184577100,07/27
19,PayPal,Visa,4942249752780702789,08/29
20,Bank Transfer,Visa,3513148040992993,01/30
21,PayPal,Visa,213112099893097,05/27
22,Credit Card,American Express,4056035928172440777,01/25
23,Bank Transfer,Visa,4966629960842318,05/32
24,Bank Transfer,American Express,342605466796854,08/30
25,PayPal,Visa,30334797516272,02/33
26,PayPal,PayPal,4492765013600189,04/25
27,Bank Transfer,MasterCard,4926504916694098,06/31
28,Bank Transfer,American Express,3517709336892878,06/25
29,PayPal,American Express,342391876239153,09/30
30,PayPal,American Express,6544016825352764,07/26
31,PayPal,PayPal,675924745200,01/30
32,Credit Card,American Express,2221103947181393,12/31
33,PayPal,American Express,4452653836715403735,03/32
34,Credit Card,Visa,377277626377963,01/29
35,Bank Transfer,PayPal,36566192190039,12/30
36,Bank Transfer,American Express,4783650273821,09/31
37,Credit Card,PayPal,4604182014260394602,08/27
38,Bank Transfer,American Express,4398972698317585,10/34
39,Bank Transfer,PayPal,2481482915870046,01/34
40,PayPal,Visa,2484542101948596,02/26
