INSERT INTO customers (
    booking_ID,    
    customer_ID, 
VALUES 
(1, 2837, 'Mr', 'Patrick', 'Moore', '48436 Dorothy Burgs Suite 368 South Charlesshire, FL 44813', '1985-10-10', 'P123456789', 1514248285, 'iadams@zamora.net', 'PayPal'),
(2, 3964, 'Mr', 'Joshua', 'Cruz', '04656 Bowman Junction Apt. 604 South Lisa, NH 20301', '1990-02-23', 'P987654321', 4559047182, 'jacquelinewatson@hotmail.com', 'Credit Card'),
(3, 17223, 'Mr', 'David', 'Schultz', 'USCGC Smith FPO AA 67962', '1988-07-15', 'P112233445', 6877621512, 'davissean@gmail.com', 'PayPal'),
(4, 20836, 'Ms', 'Jacqueline', 'Mann', '022 Rachel Wall North Kimberlyville, MA 59958', '1992-03-18', 'P223344556', 2557268494, 'imorrow@richardson.org', 'PayPal'),
(5, 23564, 'Ms', 'Julie', 'Best', '86025 Washington Spurs Apt. 263 Lake Christophermouth, LA 22562', '1995-08-22', 'P334455667', 3771193380, 'peterallen@brown.com', 'PayPal'),
(6, 30528, 'Ms', 'Cindy', 'Johnson', '962 Stephanie Forges Suite 592 Davidside, CT 07625', '1989-12-01', 'P445566778', 6847672235, 'gillkathleen@stark.info', 'Credit Card'),
(7, 36667, 'Mr', 'Christopher', 'Lynch', '5727 Rhonda Lane Suite 191 East Albert, ME 03521', '1993-05-16', 'P556677889', 1423754823, 'lbrown@wilcox-taylor.com', 'Credit Card'),
(8, 64425, 'Mr', 'Darrell', 'Preston', '231 Carter Groves Apt. 914 Port Andrewville, NV 12702', '1982-11-29', 'P667788990', 9504674575, 'kinglisa@gmail.com', 'Bank Transfer'),
(9, 65201, 'Mr', 'Thomas', 'Lewis', '9972 Wheeler Roads Cowanfort, NJ 38765', '1978-06-05', 'P778899001', 6804233214, 'jessica03@hotmail.com', 'Bank Transfer'),
(10, 104306, 'Ms', 'Ann', 'Serrano', '05598 Anthony Center Apt. 750 South Timothybury, ME 82518', '1991-04-17', 'P889900112', 5811422340, 'kevin29@gmail.com', 'Credit Card'),
(11, 141468, 'Ms', 'Anna', 'Nelson', '1519 Anderson Shoal South Stacyview, SD 68166', '1992-01-28', 'P990011223', 5770142648, 'zachary94@gmail.com', 'Credit Card'),
(12, 192997, 'Mr', 'William', 'Flores', '9925 Hinton Drive Apt. 943 North Robertchester, MO 41062', '1984-12-10', 'P123321123', 8608789073, 'hardingdiana@harper.com', 'PayPal'),
(13, 207333, 'Ms', 'Jessica', 'Clark', '173 Richardson Views Apt. 684 South Audreyborough, MI 79613', '1987-08-11', 'P432543210', 7500103540, 'jeffrey20@yahoo.com', 'Credit Card'),
(14, 210595, 'Mr', 'Christopher', 'Richards', '8992 Eugene Trafficway Port Jennifer, NJ 69742', '1995-02-28', 'P564738290', 3106342485, 'crobertson@gmail.com', 'Credit Card'),
(15, 213401, 'Ms', 'John', 'Lopez', '126 Johnson Parks Suite 540 Bryantside, CA 78238', '1993-06-12', 'P234098234', 1139158925, 'dmendez@hotmail.com', 'Bank Transfer'),
(16, 267832, 'Mr', 'Virginia', 'Rowland', '72486 Steven Square Port Andrew, NJ 40766', '1980-11-19', 'P112233998', 8520720654, 'pdodson@hotmail.com', 'PayPal'),
(17, 315995, 'Ms', 'Olivia', 'Hayes', '8097 Carol Plain Suite 834 Katiefort, OH 29501', '1997-02-04', 'P567890123', 9455458505, 'ruizjames@gmail.com', 'Bank Transfer'),
(18, 330802, 'Mr', 'Sharon', 'Bowman', '62021 Deborah Route Apt. 380 Holmesland, SC 08289', '1985-03-28', 'P234567890', 9445083860, 'melissaclark@hotmail.com', 'PayPal'),
(19, 351025, 'Ms', 'Katie', 'Carpenter', '318 Mills Flat Kellystad, MD 28311', '1992-01-13', 'P345678901', 4538397491, 'nbutler@yahoo.com', 'Bank Transfer'),
(20, 359011, 'Mr', 'Kelly', 'Jones', '1730 Karen Circle Suite 045 Martinland, KS 54199', '1989-08-30', 'P789012345', 7976856084, 'fanderson@williams-horn.net', 'Bank Transfer'),
(21, 369160, 'Ms', 'John', 'Carter', '347 Richard Creek Lake Rhonda, SD 68585', '1994-06-06', 'P234567890', 9163994751, 'kellifrazier@hotmail.com', 'PayPal'),
(22, 383070, 'Mr', 'Joshua', 'Powell', '6369 John Knolls Jasonhaven, MO 10966', '1993-09-24', 'P876543210', 8896321040, 'jessicacameron@hotmail.com', 'PayPal'),
(23, 388134, 'Ms', 'Lisa', 'Owen', '56139 Choi Garden Conniemouth, AR 98980', '1986-11-21', 'P321098765', 8226875823, 'bethany58@hall-harrison.info', 'Credit Card'),
(24, 398307, 'Mr', 'Tony', 'Fisher', 'PSC 2883, Box 4892 APO AE 79927', '1989-12-14', 'P654321987', 1040516125, 'kayla48@martin.net', 'Credit Card'),
(25, 400671, 'Mr', 'Nicholas', 'Lane', 'Unit 7373 Box 6593 DPO AP 51423', '1991-07-02', 'P987654321', 4406535315, 'angelawalters@hotmail.com', 'Credit Card'),
(26, 404637, 'Ms', 'Brianna', 'Ruiz', '045 Crawford Crescent Suite 811 East Michelle, MD 35819', '1990-05-19', 'P765432109', 5555455342, 'ylutz@miller-terry.com', 'PayPal'),
(27, 442376, 'Mr', 'Donna', 'Bautista', '8568 Maldonado Manors West Kimberlystad, NM 10603', '1982-10-15', 'P876543210', 6652984351, 'jamesellis@yahoo.com', 'Credit Card'),
(28, 445855, 'Ms', 'Mary', 'Mcmahon', '7030 Justin Camp Mclaughlinport, FL 34245', '1995-11-20', 'P987654321', 1153486137, 'ujones@yahoo.com', 'PayPal'),
(29, 477842, 'Mr', 'Joshua', 'Hogan', '54924 Darren Walk Suite 302 Ruthchester, CA 17175', '1987-01-10', 'P345678901', 9822862656, 'ehouston@perkins-valencia.info', 'PayPal'),
(30, 506592, 'Ms', 'Kimberly', 'Thomas', '15580 Warner Lights Lake Nicholas, AK 46339', '1990-09-15', 'P765432109', 2874771026, 'ericswanson@yahoo.com', 'PayPal'),
(31, 535567, 'Mr', 'Juan', 'Miller', '34068 Wilson Key Apt. 457 Port Tina, WI 06002', '1982-02-06', 'P876543210', 8497177307, 'johnny63@juarez.com', 'PayPal'),
(32, 562873, 'Ms', 'Timothy', 'Gates', '1074 Sanders Dam Choitown, PA 66457', '1992-03-12', 'P765432109', 2553150211, 'jmoody@contreras.com', 'Bank Transfer'),
(33, 612284, 'Mr', 'Dana', 'Porter', '00429 Brooke Lake Suite 985 Nicholasview, ND 16513', '1986-08-10', 'P567890123', 1935189023, 'whitejessica@kelley-smith.com', 'Bank Transfer'),
(34, 619102, 'Ms', 'Thomas', 'Rodriguez', '3792 April Ville Joneschester, AZ 31617', '1995-04-25', 'P234567890', 9514245565, 'robinsonkimberly@fuller-reyes.org', 'Credit Card'),
(35, 650049, 'Mr', 'Kevin', 'Terry', '7713 Alexis Road Paceside, NY 50355', '1988-07-03', 'P789012345', 2705453557, 'ortegalauren@yahoo.com', 'PayPal'),
(36, 685779, 'Ms', 'Ashley', 'Cardenas', '592 Robinson Way Rhodesburgh, CO 74406', '1996-11-20', 'P987654321', 4989201582, 'samuel56@williams.com', 'Bank Transfer'),
(37, 692402, 'Mr', 'Monica', 'Hester', '170 Karen Villages New Jason, DC 46714', '1990-05-12', 'P654321987', 1731063971, 'harrisonpatty@yahoo.com', 'Bank Transfer'),
(38, 705707, 'Ms', 'Jasmine', 'Jones', '7938 Jonathan Divide Suite 644 Byrdshire, OK 06942', '1991-07-21', 'P234567890', 7142957541, 'cory01@yahoo.com', 'Bank Transfer'),
(39, 707478, 'Mr', 'Tammy', 'Li', 'USCGC Campos FPO AA 49064', '1987-01-30', 'P123456789', 8512384819, 'eduardodennis@yahoo.com', 'PayPal'),
(40, 744882, 'Mr', 'Sean', 'Singh', '51398 Clark Ramp Hayneston, KS 54695', '1995-02-22', 'P345678901', 5600989557, 'mbradley@richards-green.com', 'PayPal'),
(41, 752682, 'Ms', 'Megan', 'Wright', '3244 Quail Ridge Road East Mayport, CA 62484', '1986-07-14', 'P432109876', 4832216548, 'sarah47@brennan.com', 'PayPal'),
(42, 766779, 'Mr', 'Oliver', 'Gray', '10592 Oakwood Pass West Lampton, TX 80192', '1990-10-01', 'P109876543', 5593912048, 'brianalewis@frank.com', 'PayPal'),
(43, 774198, 'Mr', 'Matthew', 'Miller', '27664 Hilltop Place Suite 181 Shadyview, IN 92411', '1982-04-08', 'P210987654', 2652361489, 'collinsjoseph@richard.com', 'Credit Card'),
(44, 797130, 'Ms', 'Catherine', 'Bryant', '27920 Bowers Heights Apt. 483 Northridge, MN 54217', '1990-09-10', 'P675849102', 6799408322, 'yvettejones@yahoo.com', 'PayPal'),
(45, 843519, 'Mr', 'Adam', 'Davis', '51400 Morgan Circle East Laurenbury, VA 53760', '1987-12-20', 'P654321987', 9011523658, 'amandabrown@hotmail.com', 'PayPal'),
(46, 849319, 'Ms', 'Gina', 'Nelson', '96808 Beverly River West Ashburn, MA 68475', '1992-05-05', 'P789012345', 1448772545, 'kevin92@gmail.com', 'Bank Transfer'),
(47, 866181, 'Mr', 'Jerry', 'Martinez', '9331 Griffith Fields Apt. 980 Sutterport, UT 50272', '1984-03-22', 'P876543210', 9700214599, 'victor37@yahoo.com', 'Credit Card'),
(48, 956146, 'Ms', 'Heather', 'Howard', '6361 Hillend Gardens Apt. 640 South Rowlandtown, WI 43661', '1990-10-18', 'P987654321', 5319732189, 'suzanne91@yahoo.com', 'Bank Transfer'),
(49, 969637, 'Mr', 'Cameron', 'Lopez', '1272 River Road East Marrietta, NE 21578', '1992-11-29', 'P123987654', 6793897654, 'theresa16@gmail.com', 'PayPal'),
(50, 979969, 'Ms', 'Andrea', 'Evans', '71336 Davis Lane Suite 273 North Thomasland, MI 55270', '1985-01-17', 'P876543210', 1543947699, 'kylejones@hotmail.com', 'Credit Card');



-- (51, , 'Amelia', 'Allen', '3125 Evergreen Road Lakeview, TX 98172', 6504728367, 'jordan.cameron@foster.com', 'Bank Transfer'),
-- (52, , 'William', 'Scott', '2346 Bluewater Avenue Greenwich, MA 12460', 8394751265, 'brittany_rodgers@taylor.com', 'PayPal'),
-- (53, , 'Benjamin', 'Lopez', '6497 Maplewood Drive West Harperton, MI 21563', 7384906345, 'david.owen@gray.com', 'Credit Card'),
-- (54, , 'Mia', 'Clark', '7822 Willow Bend Road East Waterbury, CT 34498', 5247634910, 'kelsey.jameson@shannon.com', 'Bank Transfer'),
-- (55, , 'Liam', 'Adams', '9374 Oak Street Lakeside, OH 21177', 8962541783, 'joseph.kim@harperandson.com', 'PayPal')

